Income,Age,Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Items_Purchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Cluster
58138.0,68,2,4,0,0,58,635,88,546,172,88,88,1617,3,8,10,4,1
46344.0,71,2,4,1,1,38,11,1,6,2,1,6,27,2,1,1,2,2
71613.0,60,2,5,0,0,26,426,49,127,111,21,42,776,1,8,2,10,3
26646.0,41,2,5,1,0,26,11,4,20,10,3,5,53,2,2,0,4,2
58293.0,44,4,3,1,0,94,173,43,118,46,27,15,422,5,5,3,6,2
62513.0,58,3,5,0,1,16,520,42,98,0,42,14,716,2,6,4,10,3
55635.0,54,2,2,0,1,34,235,65,164,50,49,27,590,4,7,3,7,3
33454.0,40,4,3,1,0,32,76,10,56,3,1,23,169,2,4,0,4,2
30351.0,51,4,5,1,0,19,14,0,24,3,3,2,46,1,3,0,2,2
5648.0,75,4,5,1,1,68,28,0,6,1,1,13,49,1,1,0,0,2
7500.0,49,1,3,0,0,59,6,16,11,11,1,16,61,1,2,0,3,2
63033.0,66,2,2,0,0,82,194,61,480,225,112,30,1102,1,3,4,8,3
59354.0,73,3,2,1,1,53,233,2,53,3,5,14,310,3,6,1,5,2
17323.0,38,2,3,0,0,38,3,14,17,6,1,5,46,1,1,0,3,2
82800.0,79,4,4,0,0,23,1006,22,115,59,68,45,1315,1,7,6,12,1
41850.0,45,2,3,1,1,51,53,5,19,2,13,4,96,3,3,0,3,2
37760.0,79,2,5,0,0,20,84,5,38,150,12,28,317,2,4,1,6,2
76995.0,76,3,3,0,1,91,1012,80,498,0,16,176,1782,2,11,4,9,1
33812.0,40,0,4,1,0,86,4,17,19,30,24,39,133,2,2,1,3,2
37040.0,43,2,3,0,0,41,86,2,73,69,38,48,316,1,4,2,5,2
2447.0,46,2,3,1,0,42,1,1,1725,1,1,1,1730,15,0,28,0,1
58607.0,76,4,3,0,1,63,867,0,86,0,0,19,972,3,2,3,9,3
65324.0,71,4,3,0,1,0,384,0,102,21,32,5,544,3,6,2,9,3
40689.0,74,2,5,0,1,69,270,3,27,39,6,99,444,7,7,1,5,2
18589.0,56,2,4,0,0,89,6,4,25,15,12,13,75,2,2,1,3,2
53359.0,49,2,3,1,1,4,173,4,30,3,6,41,257,4,5,1,4,2
38360.0,36,2,3,1,0,26,36,2,42,20,21,10,131,2,2,1,4,2
84618.0,60,4,3,0,0,96,684,100,801,21,66,0,1672,1,6,9,10,1
10979.0,36,3,2,0,0,34,8,4,10,2,2,4,30,2,3,0,3,2
38620.0,62,3,5,0,0,56,112,17,44,34,22,89,318,1,2,5,3,2
40548.0,55,2,5,0,1,31,110,0,5,2,0,3,120,2,2,1,4,2
46610.0,73,4,2,0,2,8,96,12,96,33,22,43,302,6,4,1,6,2
68657.0,79,3,3,0,0,4,482,34,471,119,68,22,1196,1,3,5,9,3
49389.0,74,3,4,1,1,55,40,0,19,2,1,3,65,1,2,0,3,2
67353.0,55,4,3,0,1,37,702,17,151,0,8,35,913,5,5,6,12,3
23718.0,49,0,3,1,0,76,6,3,14,15,7,36,81,3,3,1,2,2
42429.0,52,2,6,0,1,99,55,0,6,2,0,4,67,2,1,1,3,2
48948.0,82,4,2,0,0,53,437,8,206,160,49,42,902,2,7,10,5,3
80011.0,45,2,3,0,1,3,421,76,536,82,178,102,1395,2,8,6,5,1
20559.0,40,3,3,1,0,88,13,1,29,3,0,7,53,2,2,0,3,2
21994.0,68,2,5,0,1,4,9,0,6,3,1,3,22,1,0,0,3,2
7500.0,50,3,3,1,0,19,3,1,10,3,2,12,31,3,2,0,3,2
79941.0,49,2,4,0,0,72,123,164,266,227,30,174,984,1,2,4,9,3
7500.0,29,0,3,0,0,24,3,18,14,15,22,50,122,3,3,1,3,2
41728.0,57,2,5,1,0,92,13,6,15,3,5,13,55,1,2,0,2,2
72550.0,71,4,3,1,1,39,826,50,317,50,38,38,1319,9,5,2,12,1
65486.0,68,2,6,0,1,29,245,19,125,37,67,14,507,1,4,2,10,2
79143.0,61,3,3,0,0,2,650,37,780,27,167,32,1693,1,6,9,13,1
35790.0,48,2,4,1,0,54,12,6,20,30,1,3,72,2,2,0,3,2
82582.0,48,2,2,0,0,54,510,120,550,156,40,241,1617,1,4,9,7,1
66373.0,47,2,3,1,1,57,328,9,124,12,24,109,606,7,4,2,10,3
82384.0,70,3,5,0,0,55,984,51,432,180,120,190,1957,1,3,10,13,1
70287.0,59,2,2,0,0,30,295,35,482,121,120,40,1093,1,5,5,10,3
27938.0,37,2,4,1,0,31,13,0,8,2,1,5,29,1,1,0,4,2
55954.0,57,4,3,0,1,63,447,0,28,0,0,43,518,3,8,2,6,3
75777.0,43,3,4,0,0,12,712,26,538,69,13,80,1438,1,3,6,11,1
66653.0,50,2,5,1,1,18,452,18,102,16,18,6,612,4,4,2,12,3
61823.0,73,2,4,0,1,26,523,7,134,37,14,169,884,4,8,2,10,3
67680.0,74,4,6,0,1,8,546,0,48,0,6,6,606,1,7,3,8,3
70666.0,77,2,5,0,0,29,398,40,367,119,122,30,1076,1,7,4,4,3
25721.0,54,2,3,1,0,75,1,3,6,3,6,15,34,1,1,1,2,2
32474.0,58,2,5,1,1,0,10,0,1,0,0,0,11,1,1,0,2,2
88194.0,46,0,4,0,1,19,688,14,309,201,24,38,1274,1,11,10,10,1
69096.0,67,2,5,0,1,4,247,49,159,7,82,109,653,1,5,2,10,3
74854.0,55,2,5,1,2,90,856,59,487,58,29,73,1562,7,2,5,5,1
66991.0,71,3,3,0,0,1,496,36,460,189,60,12,1253,3,4,8,6,3
65031.0,66,2,3,0,1,29,258,107,291,84,37,86,863,4,10,3,13,3
60631.0,50,4,3,1,1,88,565,6,65,0,6,19,661,5,9,2,8,3
28332.0,73,2,3,0,0,58,14,10,13,4,15,9,65,1,2,1,4,2
40246.0,48,2,2,1,0,68,2,1,6,2,1,1,13,1,1,0,2,2
75251.0,53,3,3,0,0,34,721,111,925,97,18,18,1890,1,7,6,5,1
75825.0,49,2,4,0,0,40,1032,105,779,137,105,51,2209,0,5,8,9,1
